region,attraction,article
부산,감천 문화마을,칼라플한 감천문화마을 
부산,감천 문화마을,감천문화마을에서 친구들과  여유롭게 다니면서 주말을 보냈다.요즘처럼 우울한 시절에 칼라플한 마을의 독특한 느낌이  마음의 위로가 되었다. 마치 여행중 축제에서 만난 칼라플하고 독특한 느낌같이 비일상적이었다. 여기를 여행할 때는 꼭 좁은 뒷골목으로 다닐것을 추천하고 십다.
부산,감천 문화마을,강추👍
부산,감천 문화마을,해질때쯤가면 아름다운 문화마을을 감상할수있어요 성수기에는 비추... 길이좁아서 사람들이 많으면북적어서 별로에요~ 비수기한적한해질시간에방문해보새요 
부산,감천 문화마을,감천문화마을
부산,감천 문화마을,"코로나로 많은 상점들이 휴점상태입니다.여러가지 색깔의 집들이 아름답게 모여있는곳입니다.연인,친구끼리 방문하기 좋은곳입니다."
부산,감천 문화마을,약간 아쉬운 곳
부산,감천 문화마을,"사람들이 살면서 정말 마을 같으면 좋을텐데, 보여주는 마을이 것 같아 아쉬운 마음이 들더군요. 하기야 살기에는 좀 불편할 것 같긴해요. "
부산,감천 문화마을,마을이 엄청 예뻐요
부산,감천 문화마을,어린왕자 말고도 사진찍으면 이쁜 포토존 엄청 많아요 !! 그리고 예전의 풍경 그대로 간직하고 있기도해요. 다만 마을 안에 음식이나 간식들이 너무 비쌌어요 ㅜㅜ 언덕 엄청 높은 곳에 위치해있지만 버스타면 금방 갈 수 있습니당
부산,감천 문화마을,골목길안 칼라플한 집
부산,감천 문화마을, 마을의 골목길안의 집들은 칼라플한 새단장을 하고 누군가를 기다리고 있다. 골목안 집들은 처음 본 방문자들에게 어서오라고 말을 건넨다.
부산,감천 문화마을,사람없는  이른 아침이 좋지만 상점이용 하실분 10시이후로...
부산,감천 문화마을,오전에 일찍 가세요. 택시타고 가서 감천문화마을 입구에 내리니 9시 2분.  물론 너무 오전이라 상점들이 오픈전이라 썰렁했지만 포토스팟에서는 원없이 수십장씩 사진 찍었어요.  고래사어묵 하나씩 먹고 2번코스로 2시간 걸렸어요. 중간에 잘못빠져서 스팟하나 놓쳤지만 뭐 골목이니까 조용히 빠져나오다보니 합류했어요. 어린왕자는 필수인데 I♡감천 은 유튜브 부산홍보영상 보고서야 있는줄 알았네요.  어린왕자 에코백하나 샀는데 예쁩니당
부산,감천 문화마을,골목이 너무 아기자기 해서 옛 풍경을 그대로 간직한곳
부산,감천 문화마을,골목 골목마다 옛 정취를 그대로 느낄수 있어서 좋았어요. 아이들과 같이 걸으며 좋은 추억 만들고 왔어요.부산 방문하시면 한번쯤 꼭 들러보시길
부산,감천 문화마을,한번쯤은 가볼만한 한곳
부산,감천 문화마을,"그냥 알록달록한 달동네 아닌가 싶었지만 막상가보니 좋네요외국인들을 제일 많이 봤던곳이 아닌가 싶어요.한복체험도 많이 하고있구요, 어릴적 달동네감성을 만끽할수 있어서 좋았어요.군데 군데 포토존이 매우 많습니다.어린왕자와 여우랑 같이 찍으려먼 2~30분은 기다려야할듯.이쁜상점들이 많아서 눈과 입이 즐겁구요, 바다와 함께 볼수있는 전망대에서도 인생사진을 건졌네요.실제 거주하는 주민들이 많으니 오전9시이전이나 오후5시이후에는 가지 않는것이 좋습니다.밀면집에서 밀면을 영어로 when you push라고 적어놓아서 한참 웃었네요. 사장님도 잘못된걸 알면서 그냥 웃으라고 놔뒀데요 ㅋ"
부산,감천 문화마을,아기자기한 뷰를 보기좋은곳 다만
부산,감천 문화마을,아기자기한 상점들과 건물뷰들을 보기좋습니다. 골목골목 돌아다니는 재미가 있습니다.차를 가지고오셨스면 근처 초등학교를 임시주차장으로 쓰고있으니 거기에 세우시고 걸어가시면됩니다. 어린왕자와의 사진은...약 30분의 대기가 필요하니...음 저는 퍂스했습니다. 그외에도 그냥 뷰랑 찍어도 좋을것 같아요
부산,해운대,힐링하기 좋은 바다
부산,해운대,오랜만에 부산에 내려가서 해운대 요트투어를 하며 시간을 보냈어요. 근처에 미포철길도 있고 맛집도 많아서 휴가 가서 힐링하고 오기 좋은 바다였습니다.
부산,해운대,주말 부산여행
부산,해운대,"해운대 백사장에서 열리는 빛 축제가 인상적이었고 산책하기 좋았어요. 주변 맛집도 많고, 편의시설이 많이 있어서 편리했습니다. "
부산,해운대,해운대 바다
부산,해운대,매번 바다 보고 싶을때 ktx타고 방문합니다. 아침에 해운대 바다를 왕복으로 산책하면 운동도 되고 너무 좋아요. 주변에 맛집도 많아서 좋습니다.
부산,해운대,바다가 아름다운 해운대
부산,해운대,"언제 보아도 아름다운 곳입니다.낮보다밤이 아름다운곳입니다주변에 동백섬과 달맞이길,문텐로드와해변열차가 운행하고있습니다.가족,연인,어느누구라도 방문해도 좋습니다."
부산,해운대,여행
부산,해운대,부산에 살아도 잘못오는데 오랜만의 여행고층건물들이 즐비하게 야경이 매우 아름답고 좋네요백사장이야 워낙 유명하니까 ~~~
부산,해운대,부산 일번지
부산,해운대,부산의 모든  것이  모여 있다고 해도 과언이 아닐 것. 부산 여행의 출발점이자 끝. 항상 활기가 넘치고 살아 있는 곳. 그 느낌만으로도  좋은 곳
부산,해운대,항상가는코스
부산,해운대,해운대는 부산여행하면 빠질수없는곳낮에도 예쁘지만 밤에 보면 주변 건물과 바다를 보는 풍경이 너무예쁜곳인듯합니다. 
부산,해운대,해운대 좋아용
부산,해운대,오랜만에 놀라왔는데 놀기도 좋고 바닷가 걷기도 딱 좋은 날씨에요 밖에서 맥주한잔하기정말 좋은곳이에요 맛집도 많아서 좋아요!
부산,해운대,아름다운 곳 해운대 마음이 편안하곳 해운대 사람이 많이 없어 당일 여행에 아주 만족했다.둘레길도 좋고 주변 환경도 좋았다
부산,해운대,밤바다가 아름다운곳
부산,해운대,"한국뿐만 아니라 전세계에서도 유명한 대표적인 해수욕장입니다.드넓은 백사장과 야간뷰,산책코스등등연인,친구,가족끼리 쉽게 방문하기좋은곳입니다."
부산,태종대,부산의 명소 중 하나.
부산,태종대,"자연경관보러 가기에 좋다. 풍광은 좋은 편이나, 나무에 가려진 곳이 많다. 등대나 전망대 쪽에서 보는 경관이 좋다.많이 걸어다녀야 하며, 등대카페와 그 아래도 내려갈 수 있으므로 취향에 맞게 가면 좋다. 등대건물은 현재 코로나로 인해 입장할 수 없지만 그 옆의 휴게공간인 등대카페는 정상운영중이다. 바람이 꽤 부므로 주의.개인적으로는 다누비 열차를 활용하는 것을 추천. 비수기의 다누비 배차간격은 20분정도. 자세한 것은 첨부사진 참조도보로 일주시 등대와 명소들을 다 본다면 3시간은 걸릴 것이다."
부산,태종대,비오는날 태종대일주하면 
부산,태종대,몸과마음이 상쾌해지는 느낌입니다.코로나로 닫혀있던 태종대전망대 휴계소가 열렸습니다.2층에는 새로만들어진 커피숖도 있습니다.등대와 태종사와 함께어우러져걷기에 정말 좋습니다.
부산,태종대,부산에 간다면 기본 코스
부산,태종대,"태종대 파도를 보고와야 부산에 다녀왔다고 할 것. 예전만큼의 감흥은 덜하지만, 부산을 처음 여행하는 사람들은 필수 코스임. "
부산,태종대,부산 최고의 바다 경치
부산,태종대,부산에 간다면 무조건 여기는 한바뀌 트레킹 하길 권한다. 절벽에서 보는 바다 경치가 정말 좋다. 시간적 여유가 있다면 윗길로 가서 도는 것이 좋을 것 같고. 없다면 아랫길로 가서 등대 쪽 전망대에서 경치보고 내려가서 배를 타고 이동해도 괜찮다.
부산,태종대,조용한 태종대
부산,태종대,코로나로 태종대 부비열차도 중단되었지만입장은 가능합니다.오전방문하시면 한적하게 사람도 없고좋습니다.전망대매점과 입구매점은 코로나로 폐쇄가되었습니다.자판기는 사용가능합니다.자갈마당과 전망대 코스로해서 한바퀴 일주하는데 2시간정도 잡으시면됩니다.전망대까지만 가시면 1시간 내외입니다.입구에 유료주차장이 세군데있습니다.
부산,태종대,부산의 끝자락 느낌
부산,태종대,영도에서도 끝. 대한민국 동남쪽 끝.분명 같은 시간 부산 시내는 맑은데 태종대는 앞이 안보일 정도로 안개가 자욱했다.굉장히 신기한 곳이다.
부산,태종대,밝은 햇살을 받으며 탁 트인 해안의 산책로.. 너무 좋아요.
부산,태종대,태종대 산책로를 천천히 걸어보세요.밝은 햇살과 맑은 바다 공기.. 탁 트인 해안의 절경을 감상하며 40분 정도를 산책했습니다.휴게소에서 차 한잔의 여유를 가지며 동행들과 행복한 시간을 보냈죠.
부산,태종대,다시와도 좋네요..
부산,태종대,경치도 좋고 산책하기도 좋은 곳입니다.2년 만에 다시왔는데.. 여름 겨울 다 괜찮네요..등대 전망이 좋고요..전망대는 2019년 12월 기준 수리 중이네요..빨리 보수가 되면 좋겠어요 
부산,태종대,부산의 자랑.. 태종대 해운대
부산,태종대,영도의 끝자락에 위치해 각종 자연의 모습과 산책하고 걷기에 너무도 좋은 곳... 부산에 왔다면 한 번은 꼭 들러야하는 곳. 위쪽이 해운대라면 아래쪽은 당연히 태종대이지요..가족끼리 연인끼리 산책하며 걷기에 가장 좋은 곳입니다.
부산,태종대,태종대에 올라가기위해 운영되고 있는 차 티켓을 구매한 후 차를 타고 올라가면 쉽고 편하게 올라 갈 수 있어서 좋았습니다 다만 정류장을 잘 몰라 놓칠 수 도 있으니 조심해야할 것 같습니다 
부산,범어사,여름에 피서하기 좋은 계곡
부산,범어사,부산을 내려다 보는 범어사.큰 도시에서 이런 절이 있는 것이 놀랍다.여름이면 범어사 아래 계곡 물이 흐를 때 물장구 잠시 치는 것도 좋다.물이 아주 시원하고 맑다.
부산,범어사,부산에서 제일 큰 사찰
부산,범어사,부산에서 제일 큰 사찰이자 전국적으로도 다섯 손가락 안에 꼽히는 고찰입니다. 찾는 사람이 많아서 산 속에 있음에도 교통도 편리한 게 장점.
부산,범어사,신라 의상대사가 창건한 고찰
부산,범어사,"신라 문무왕때 의상대사가 창건했으며 해인사, 통도사와 함께 영남의 3대 사찰로 부산의 대표적인 사찰입니다.  불교신자가 아니라도 천년고찰로서 볼거리가 풍부하여 내,외국인들이 많이 찾는 곳입니다.  또한 일반인들을 대상으로 템플스테이도 운영을 합니다.  오랫만에 찾았더니 통로 곳곳에 예쁜색깔의 등으로 장식되어 있어 정말 운치있었습니다.  지하철 1호선 범어사역에 내려서 5번 또는 7번 출구에서 주택가 방향으로 500m 정도 걸어가서 90번 버스를 타고 범어사 매표소 입구에 내리면 됩니다.  입장료는 무료입니다."
부산,범어사,부산의 명소... 범어사
