region,attraction,article
제주,컴퓨터박물관,"한라수목원 갔다가 오는 길에 예약해서 했는데 너무 즐겁게 잘 놀았습니다. 컴퓨터의 역사와 부품과 애플사의 최초 컴퓨터 cpu 등등 여러가지를 눈으로 보고, 체험해 볼 수 있어서 좋았습니다. 정시 마다 직원분이 도슨트 역할을 해주셔서 이해하기가 더욱 수월 했습니다. 2층은 마치 게임방에 온 것같아 더욱 신나고 어른들은 추억으로 아이들은 어른들이 어렸을 때 해 봤 던 (바람의 나라….) 등등 을함께 체험 함으로써 가족들 모두 함께 즐길 수 있을 것 같습니다."
제주,컴퓨터박물관,별 기대 없이 갔는데 너무 재밌었어요. 사람이 적을 때 가면 오래 있을 수 있겠어요. 게임 체험도 많고 시간대별로 해설해주시는 분도 계셔서 생각보다 알차고 옛날 생각도 났어요. 다만 기념품샵에 더 다양한 게임 캐릭터들이 있었다면 다 쓸어왔을텐데 싶어요.. 예를들면 넥슨이 자랑하는 바람의나라 옛 도트캐릭터로 만든 피규어나 캐릭터상품이 있었다면 엄청 사왔을 거에요.ㅎㅎ
제주,컴퓨터박물관,너어어어무 재밌었습니다!! 컴퓨터 게임 엄청 좋아해서 너무 흥미롭고 재밌게 체험하다갑니다!!! 완전 신기하고 재밌고 알려주시는분들도 친절해서 좋아요
제주,컴퓨터박물관,아이가 궁금하다해서 예약하고 방문한 박물관. 컴퓨터의 과거부터 지금까지 볼수있고 코딩도 체험해보고 게임도 할수있고 아이가 좋아하네요
제주,컴퓨터박물관,"컴퓨터와 관련된 다양한 것을 보고 다양한 체험을 할 수 있어서 너무 좋았어요. 신랑이 더 신나했던 장소였어요.^^
마우스 만들기도 재미있었어요. 집에 와서 연결했더니 정말 되더라구요. ㅎㅎ
움직임이 부드럽지는 않지만 자신이 직접 만든 것이 작동하니 뿌듯해했어요."
제주,컴퓨터박물관,아이와 함께 방문했는데 알찬 설명에 제가 더 즐거웠어요. 아이는 다양한 게임을 보고 좋아하더라구요
제주,컴퓨터박물관,아이가 제주도 여행 중 제일 재밌었다네요. 마우스랑 태양광 벌레 만들기 체험은 괜찮아요. 아무래도 넥슨이 게임회사다보니 컴퓨터 박물관이라기 보다는 게임박물관에 가까워요. 과거부터 현재까지 게임 변천사를 알아볼 수 있어요.
제주,컴퓨터박물관,게임도 많고 재밌게 놀다왔어요~ 카트라이더 메모지도 받고 꿀잼
제주,컴퓨터박물관,아이가 코딩 및 컴퓨터 수업을 좋아해서 가봤어요 친절하시고 안내사 분의 설명이 있어 더 좋았어요 게임 좋아하는 분들이 가면 더ㅜ좋아할 듯 싶어요
제주,컴퓨터박물관,"게임을 좋아하는 아이들과 라떼의 추억을 떠올리는 성인들에겐 재밌는 곳이네요.
그런데 게임관시없는 엄마에겐 쉼 공간이 부족한 곳이기도하네요."
제주,컴퓨터박물관,아이랑 3시간은 거뜬히 놀 수 있을 거 같아요 구성이 알차요 어른도 재밌게 놀 수 있어요
제주,컴퓨터박물관,주차도 편하고 재밌었어요 예약필수에요
제주,컴퓨터박물관,방문해 보세요 너무 좋아요 ^^
제주,컴퓨터박물관,"오락도 즐거웠지만 1층 전시실 테마가 인상깊었어요.
바닥에 그려진 회로도를 따라서 들었던 설명도 만족스러웠습니다. 새로운 영감 받고 가요."
제주,컴퓨터박물관,아이들이 컴퓨터에대해 더 깊이 알게되고 체험할것이 많아서 즐거운시간보냈어요~~ 아이들도 만족한다구 계속이야기하네요
제주,컴퓨터박물관,"초등 아이들과 다녀왔는데 너무 시간 잘 보냈어요
만지작 2개 다 신청했는데 아이들이 정말 좋아했어요
예약제라 쾌적하게 관람할 수 있어서 좋았어요
3시 30분 예약해서 6시 폐관까지 잘 놀다왔어요
더 일찍 예약했으면 2층에서 더 오래 놀았을 것 같아요 ㅎㅎ"
제주,컴퓨터박물관,"제주도 마지막날 유일하게 방문한 문명시설
별 기대안했는데 아이들이 넘 좋아해서
세시간 순삭
아이들이 체험할 수 있는것도 많고
각 층마다 상주하는 직원들이 궁금한게
있을때마다 바로바로 해결해줘서
성질 급한 우리가족에게 딱 맞는 서비스
다만 입장료가 사악함 ㅋㅋ"
제주,컴퓨터박물관,"1층은역사,2층게임,3층코딩, 지하 기념품 등으로 넘 괜찮은곳이에요^^ 아이가 마리오게임재밌었대요."
제주,컴퓨터박물관,"재미있게 잘 보내다가 왔어요
컴퓨터나 코딩에 관심 많은 친구는 더 재미있는 공간입니다
강력추천해요"
제주,컴퓨터박물관,공항근처 가기전에 아이와 들르기 좋아요~
제주,컴퓨터박물관,"재밌었고 만족스러웠습니다, 한 번쯤은 방문해보시는거 추천드립니다."
제주,컴퓨터박물관,친절하게 설명해주시고 7살 아이도 쉽게 체험할 수있는 컨텐츠가 많았어요!
제주,컴퓨터박물관,3번째 방문이에요! 제주도에서 가장 가성비 좋은 박물관 같아요. 볼 것도 많고 재밌어요♥️ 선물도 왕창 얻어가서 좋아요. 대신 게임이나 컴퓨터에 아예 관심이 없으면 안맞을 수 있어요
제주,컴퓨터박물관,부모님괴 조카와 갔는데.조카가 좋으네여.. 부모님은 입장료만 내시고 밖에서 대기 ㅋ
제주,컴퓨터박물관,아이들 데리고 가기 좋아요. 추억돋는 게임도 많아요.
제주,컴퓨터박물관,아이랑함께 게임 신나게했어요~저도 옛날게임들을 할 수 있어서 재미있었네요. 아이가 다음번 제주에오면 또 오고싶다네요~^^
제주,컴퓨터박물관,해볼 건 많은데 초1보다는 좀더 큰 아이들이 더 재밌을거 같아요! 체험프로그램이랑 입장권이랑 다 합치면 돈이 꽤 나가네요
제주,컴퓨터박물관,추억의 오락게임 하러가는 곳입니다. 아이들은 별 관심이 없을수 있으니 사전 예약시 체험하는거 해주는 편이 좋을듯해요. 그리고 생각보다 주차장이 많이 혼잡했어요. 한번 가는걸로 족하네요. 비오는 날 시간 잘 때웠어요
제주,컴퓨터박물관,초등학생들이 오면 정말 좋아할 것 같습니다~
제주,컴퓨터박물관,공항 근처에 있어서 가봤는데 볼거리가 다양해서 구경하는 내내 즐거웠습니다
제주,컴퓨터박물관,"도슨트도 유익한 시간이였구요.
아이들이 겜으로 좋아하네요.
그런데 도슨트 소리가 좀 크면 좋겠어요.
열심 설명해주시는데 그에비해 소리가 작아서 아쉬웠네요."
제주,컴퓨터박물관,의외로 알찬 구성 가성비 좋네요
제주,컴퓨터박물관,초등남학생 아이랑 갔는데 정말 좋아했어요!!!
제주,컴퓨터박물관,성인이 와도 재미있습니다! 다양한 체험과 스토리!!! 도슨트 설명이 정시마다 있는데 진짜 최고에요:) 12시 점심에도 도슨트는 진행하니 참고하세요!
제주,컴퓨터박물관,기대안하고 갔는데 꿀잼이라 시간 금방갔습니다
제주,컴퓨터박물관,아이가 다시 오고 싶다고해요 너무재미있었어요 초6초4
제주,컴퓨터박물관,"아이와 나이 많은 아빠가 즐겁게 보낸 곳이예요. 둘다 게임에 빠져서 한참을 있다왔어요. 넥슨이라 카트라이더 기대했는데 우리가 못찾은건지 카트라이더 체험이 없어그 부분이 아쉬웠지만, 전체적으로 즐거운 곳이었어요"
제주,컴퓨터박물관,"컴퓨터, 게임 좋아하면 가볼만하고 아이랑 가기 좋을것같아요!"
제주,컴퓨터박물관,아이들이 재밌어하고 체험할 것들이 많아요
제주,컴퓨터박물관,초창기 컴퓨터부터 현재 기기까지 전시가 잘되어있고 게임도 즐길수 있어 젛은시간이었답니다.
제주,컴퓨터박물관,아이들과 체험 관람하기 좋고 2층에 게임존이 있어 더 신났던거 같애요 한번쯤 방문하면 알차게 시간 보낼 수 있을꺼 같네요
제주,컴퓨터박물관,카트라이더 캐릭터와 사진 찍어서 인화해주셔서 좋았어요. 도슨트 설명 좋았어요. 주차장 좁아요. 최근 카트라이더 게임 캐릭터 말고는 체험이나 VR이런거 없어서 많이 아쉽네요
제주,컴퓨터박물관,"1층은 박물관 2층은 게임관이에요~ 직원분들이 친절하시고, 설명을 아주 잘해주세요."
제주,컴퓨터박물관,"어릴적에 즐겼던 게임들을 여기서 다시 만나보게 되어서 향수에 젖었습니다.
어릴적 기억을 다시 상기시켜주는 유익하고 즐거운 추억이었습니다.
꼭 한번 가보는것을 추천드립니다."
제주,컴퓨터박물관,체험활동도 많고 재밌습니당.
제주,컴퓨터박물관,"3년 전에 오고 아이들이 다시 가고 싶다해서 왔어요
지하까페는 사라졌네요
두번째 방문도 아쉬워할 정도로 좋아하네요"
제주,컴퓨터박물관,너는 재미있어 시간 가는줄도 몰랐어요. 다음 일정만 아니였으면 더 시간을 보냈을거예요.
제주,컴퓨터박물관,한 시간 반 계획 잡고 갔다가 세 시간 넘게 있었습니다... 그만큼 구성도 굉장히 알차고 특히 체험하는 게 많아서 재미를 많이 느낄 수 있습니다. 그리고 도슨트 프로그램도 매우 유익했습니다.
제주,컴퓨터박물관,"마우스 만드는 수업 참여 시에 찍은 사진 입니다
초등학생 아들하고 둘이 여행 왔는데 제주도 안에서 아들하고 가장 즐거운 시간을 보냈습니다 추천합니다!"
제주,컴퓨터박물관,추억의 게임들로 잼나게 놀다왔어요
제주,컴퓨터박물관,6.8살두아들 재밌게놀다왔어요 박물관관리가 전체적으로 잘되어있는느낌이에요~
