region,attraction,article
경주,불국사,오랜만에 경주 불국사 탐방 정말 정말 오랜만에 경주 불국사를 설날 아침에 방문하였다  입장료가 인당 6000원으로 좀 비싼 듯하나 어머님을 모시고 갔기에 같이 들어갔다날씨가 추워서 그냥 다보탑 석가탑만 보고 나오기는 아쉽지만 예전 기억을 되살린 여행인 듯하다
경주,불국사,고즈넉한 분위기 독특한 탑 양식을 보여주는 석가탑과 다보탑을 보는 것만으로도 충분한 가볼만합니다. 계절마다 달라지는 모습이 볼때마다 새롭습니다.
경주,불국사,경주하면 불국사 경주하면 불국사라할 정도로... 유명한 사찰이며 관광지입니다.  가이드 투어로 불국사에 대한 기본 설명을 듣고 보는 경내는 더 아름다웠습니다.불국사를 가시는 분들은.... 가이드 투어를 추천합니다~~~
경주,불국사,그냥 보고 지나치지 마세요 부족한 배경지식에만 의존하지 말고또 인터넷 검색의 단편적인 정보에 의존하지 말고문화 해설사의 설명을 들으며 이해도를 높여보는게 좋은 곳
경주,불국사,아름다운 사찰 경치가 아주 아름다움. 전시되어 있는 사리와 다보탑 석가탑들도 신비함을 자아내지만그것들을 제외해도 작은 호수와 다리들은 너무나 아름다웠음다만 규모에 비해 입장료가 많이 비쌈
경주,불국사,무조건 방문해야죠. 경주에 여행을 왔다면 불국사는 무조건 가야죠. 역사적 가치뿐 아니라 부담없이 둘러보기에도 너무 너무 멋진 곳이에요. 특히 가을에 방문하면 단풍이 아주 예쁘답니다.
경주,불국사,경주 최고의 방문지 예전 불국사는 석가탑과 다보탑을 보러 오는 곳이었습니다. 하지만 시간이 지나 어른이 되어 불국사를 찾았을 때 이곳을 찾는 이유를 알게 되었습니다. 고즈넉하면서도 거대한 신라의 불국사에 감탄하며 오늘도 감사한 마음으로 살아가야 되겠다는 생각을 하게 되었습니다.
경주,불국사,너무 좋아요! 당연히 경주여행에서 빠져서는 안될 코스지요! 유네스코 세계문화유산인 만큼 국내 국외를 불문하고 관광객이 너무 많네요. 가을이라 단풍구경하기에도 너무 좋았고요!근데 입장료가 다소 비싼느낌은 조금 있네요. 
경주,불국사,누구나 한번이상 가게 되는 곳 어릴적 수학여행 갔을땐 왜 늘 수학여행은 여기로 오는 건지 이해를 못했는데 어른이 되어 가보니 수려한 건축물에 다보탑과 석가탑까지 우리문화유산의 아름다운과 소중함을 깨달을 수 있어 다시 또 방문하고 싶어지는 곳입니다. 
경주,불국사,"대한민국에서 가장 유명한 사찰 자타공인 대한민국에서 가장 유명한 절 중 하나. 3~40대의 사람들 중 중고등학교 시절에 이곳으로 수학여행을 와보지 않은 사람은 아마 거의 없을 것이다. 이 절 하나에 6개의 국보(다보탑, 석가탑, 연화교와 칠보교, 백운교와 청운교, 금동비로자나불좌상, 금동아미태여래좌상)과 6개의 보물(대웅전, 사리탑, 석조, 가구식 석축, 영산회상도와 사천왕 벽화, 삼장보살도)가 있으니 그야말로 문화의 보고이자 볼거리가 넘쳐나는 곳이다. 하지만 너무 유명한 곳이라 사람도 너무 많아 여유를 갖고 구경할 수 없다는 점이 유일한 단점이다."
경주,불국사,아침에 사람 적을 때 가면 더 좋습니다 불국사는 워낙 사람이 늘 많아서 이왕 갈 거면 아침 일찍 가서 좀 사람 없고 여유로울 때 보는 게 좋아요. 안 그러면 사람 바글바글...
경주,불국사,"주차지옥.. 그냥 오래된 절입니다. 저는 솔직히 말씀드려서 경주 갔으니까 불국사 한번은 가야지 라는 생각으로 갔었는데, 솔직히 말해서 그냥 절이예요..그래도 역사적으로 문화가 깊은 공간이기 때문에 꼭 가보시면 좋을 것 같네요."
경주,불국사,명불허전 한여름이지만 불국사 올라가는 길은 숲길이라 시원하고 불국사에서 먹은 약숫물이 정말 시원했어요 사람은 많았지만 어릴때 수학여행와서 대충둘러봤던 다보탑과 석가탑을 어른이 되어 다시 보니 감회가 새로웠습니다. 
경주,불국사,"여행 외국어 안내 선생님을 잘 만났습니다.늦은 오후에 가 보시고, 6시 반부터 하는 기도시간 (사물놀이 포함) 을 노려 보세요.특별한 경험이 됩니다."
경주,불국사," 오랫만에 다시 옴.  오랫만에 다시 와서 좋았음.사진도 예쁘게 나오고,, 한국이 참 국제화 됐구나 싶은게, 나이 많은 미국사람이랑 프랑스 젊은 여자 아가씨 들도 보였었음."
경주,불국사,불국사의 반전 사생대회가 잇는날! 불국사에서 걸그룹 댄스와 팝송이 나오다니! 가정의 달 행사 하는건 좋은데 한적한 사찰을 생각하고 간 불국사에서 완젼 배신을 받은 느낌! 이럴거면입장료를 받자 말던지!
경주,불국사,아주 유명한 사찰 우리나라에서 가장 유명한 사찰이라고 볼 수 있는 불국사.경주 수학여행으로 빠질 수 없는 곳이였음.경주 들린다면 꼭 가보길 추천.
경주,불국사,"우리나라 사람은 꼭 한번 가 봐야 할 사찰 신라시대 세워진 사찰. 다른 사찰에서는 보기 힘들며 주로 궁궐에 있는 회랑이 있는 사찰. 역사적 의미와 건축가가 한평생 건축한 의미가 살아있는 사찰. 그러나 유료주차장, 박물관 유료화 등 너무 세속에 물드는 것이 조금 아쉽다."
경주,불국사,언제봐도 멋있습니다. 언제봐도 멋있는 불국사입니다. 14년전에 방문했을때보다 입장제한이 늘긴 했지만 여전히 고찰을 느끼기에 손색이 없습니다. 아동이 상당히 많습니다. 참고하세요.
경주,불국사,"불국사는..가야죠 경주는 제가 좋아하는 국내여행지역인데요. 불국사는 갈때마다 무조건 갑니다. 계절마다 다른 모습을 보여주기도 하고 다보탑,석가탑 보수가 끝이나서 그걸 보기 위해 갈만 하고, 4월에 벚꽃에 이어 피는 불국사 입구쪽에 있는 왕벚꽃밭 강추합니다"
경주,불국사,한국인이라면 별5개!!! 솔직히석굴암안가본 한국사람몇이나댑니까?이런우리나라의자랑은 널리알려많은사람들이 관람해야댑니다.일본놈들이 개판으로 만들어낫지만 지금이라도 관리잘해서 우리후손들도 이아름다운 문화재를 봐야한다고 생각합니다.
경주,불국사,공사중인데가 없어 좋네요 불국사 갈때마자 뭔가 공사중인데가 있어서 그랬는데 이번엔 그런게 없어 좋았어요.그리도 방문 유형에 가족일때 아이동반 말고 그냥 가족좀 넣어주세요. 부님과는 못가나요????월욜이라 내부에 만들어놓은 박물관은 못들어 갔지만 예쁜 탑도 보고 연꽃등 달린것도 보고 엄마가 좋아하셨어요.다만 연꽃등이랑 부처님오신날 등다는걸 무슨 호객하듯이... 막 하라고 하시더라구요. 궁금해서 물어본건데 1년 달아주는데 이것도 못하냔 식이어서 당황스러웠어요.조금이지만 꽃도 피었고 대웅전이나 천수관음도 볼 수 있어 좋았어요.
경주,불국사,경주에 왔다면 꼭 와볼 곳 입장료는 5천원으로 절대 저렴하진 않지만 가볼만한 곳입니다.주차료 별도이며보수가 많이 필요해보이지만 옛 모습을 간직하고 있는 곳입니다
경주,불국사,옛 수학여행 명소 예전에 어릴적 수학여행으로 불국사를 갈때는 정말 싫었는데 다시 보니 아름다운 우리나라 문화유적지입니다 어른들도 많이 오십니다 
경주,불국사,불국사 우리나라를 대표하는 절로 어린 시절 수학여행으로도 왔던 기억이 나네요. 지금의 절은 20세기에 보수공사를 하면서 재탄생한 것이지만 역사는 오래된 곳이죠. 절도 절이지만 불국사가 유명한 이유는 석가탑과 다보탑이 한몫을 하지 않나 생각합니다. 아침 일찍 갔더니 사람이 없어 한적하고 좋았습니다.
경주,불국사,"신라 불교사찰문화의 정수 불국사 불국사 경내 국보만 6개, 보물만 5개나 되는 국보사찰 불국사 국보를 모두 찾아보는것이 불국사 투어의 tip국보 20호 다보탑, 국보21호 석가탑, 국보22호 연화교와 칠보교, 국보23호 청운교와 백운교,국보26호 금동비로자나불좌상, 국보27호 금동아미타여래좌상"
경주,불국사,경주에서 가장 유명한곳 경주에서 가장 유명한 절이죠다보탑과 석가탑이 있고수학여행 오신분들은꼭 다녀온 곳이죠경주 왔다면 꼭 가봐야 할 곳입니다 
경주,불국사,너무 좋아요 마음이 정화되는 느낌.다보탑과 석가탑도 보고 계단을 배경으로 사진도 찍구요..근처에 석굴암도 있어서 간 김에 꼭 들려보세요!경주 시내에서 불국사 오가는 길에 한옥 카페도 많으니 들려보는 것도 좋겠습니다.:)
경주,불국사,꼭 방문해야 할 곳  예전에 수학여행으로 왔을때의 추억이 새록새록 떠오르면서 더 많은 것들이 보이는 지금 고즈넉한 풍경이 눈에 들어오면서 불국사의 아름다움을 느끼는 곳 다보탑과 석가탑이 유명하며 공부하고 보면 볼수록 더 많이 보이는 곳 
경주,불국사,"경주에 오면 꼭 들려야할 불국사 경주에 오면 꼭 들려야할 불국사. 백운교와 청운교의 멋진 모습을 시작으로 대웅전과 다보탑, 석가탑, 극락전 등 흥미있게 절을 한바퀴 돌 수 있다.불국사 박물관도 개관하여 불국사를 이해하는데 더 도움이 된다. "
경주,불국사,가을 여행하면 빼 놓을수 없는 곳 입장료가 성인 5000원이라서 다소 비싸긴 하지만 충분한 가치가 있는 곳이라고 생각이 듭니다. 단풍나무 들과 오래된 옛 유적 들을 감상하며 잠시 머리를 식혀 보는것도 괜찮을거 같습니다.
경주,불국사,"최고의 관광지입니다 입장료는 성인 5,000원 소인 2,500원으로 다소 비싸기는 하지만 가치있는 문화유산을 직접 만나는데 기꺼이 지불할만하다.경주에 대표 문화유적지이기도하며, 아주 넓고 나무도 있는것이 요즘은 보기힘든 초록색이 많아 눈에도 좋습니다"
경주,불국사,경주 최고의 장소 한국에서 혹은경주에서 가장 한국적인 곳~! 사찰 중에서 가장 아름다운곳! 사계절 마다 매번 매력이 다른곳! 경주가면 꼭 들려야 할 곳 입니다!!!
경주,불국사,경주 불국사 순례 국립공원 경주 불국사는 국보급 유물이 한 곳에 가장 많이 소장되어 있는 곳으로 알려져 있으며 특히 국보 22호로 지정된 석가탑이새롭게 중수되어 여행객들위 눈길을 사로잡는다.또한 경주 불국사 경내에 있는 청운교 백운교 연화교의 숨은 이야기는 불국토를 이룩한 신라문화의 절정인 국보유물알 것이다.
